ad_domain,sellersjson_lines,case1_(incorrect_seller_type),case2_(incorrect_seller_domain),case3_(incorrect_seller_name),case4_(confidential_seller),case5_(duplicate_entries),total_publishers,total_intermediaries,total_both,case6_(intermediaries_wo_sellersjson),case7_(id_sharing)
01-edito-atf-laplacemedia-1.fr,1351,0,250,32,0,0,0,0,1351,1,0
01-edito-atf-laplacemedia-2.fr,1351,0,250,32,0,0,0,0,1351,1,0
01-edito-atf-laplacemedia-3.fr,1351,0,250,32,0,0,0,0,1351,1,0
01-edito-atf-laplacemedia-4.fr,1351,0,250,32,0,0,0,0,1351,1,0
01-edito-atf-laplacemedia-5.fr,1351,0,250,32,0,0,0,0,1351,1,0
01-edito-atf-laplacemedia-6.fr,1351,0,250,32,0,0,0,0,1351,1,0
01-edito-atf-laplacemedia-7.fr,1351,0,250,32,0,0,0,0,1351,1,0
01-edito-atf-laplacemedia-8.fr,1351,0,250,32,0,0,0,0,1351,1,0
01-edito-atf-laplacemedia.fr,1351,0,250,32,0,0,0,0,1351,1,0
02-services-atf-laplacemedia-1.fr,1351,0,250,32,0,0,0,0,1351,1,0
02-services-atf-laplacemedia-2.fr,1351,0,250,32,0,0,0,0,1351,1,0
02-services-atf-laplacemedia-3.fr,1351,0,250,32,0,0,0,0,1351,1,0
02-services-atf-laplacemedia-4.fr,1351,0,250,32,0,0,0,0,1351,1,0
02-services-atf-laplacemedia-5.fr,1351,0,250,32,0,0,0,0,1351,1,0
02-services-atf-laplacemedia-6.fr,1351,0,250,32,0,0,0,0,1351,1,0
02-services-atf-laplacemedia-7.fr,1351,0,250,32,0,0,0,0,1351,1,0
02-services-atf-laplacemedia-8.fr,1351,0,250,32,0,0,0,0,1351,1,0
02-services-atf-laplacemedia.fr,1351,0,250,32,0,0,0,0,1351,1,0
03-social-atf-laplacemedia-1.fr,1351,0,250,32,0,0,0,0,1351,1,0
03-social-atf-laplacemedia-2.fr,1351,0,250,32,0,0,0,0,1351,1,0
03-social-atf-laplacemedia-3.fr,1351,0,250,32,0,0,0,0,1351,1,0
03-social-atf-laplacemedia-4.fr,1351,0,250,32,0,0,0,0,1351,1,0
03-social-atf-laplacemedia-5.fr,1351,0,250,32,0,0,0,0,1351,1,0
03-social-atf-laplacemedia-6.fr,1351,0,250,32,0,0,0,0,1351,1,0
03-social-atf-laplacemedia-7.fr,1351,0,250,32,0,0,0,0,1351,1,0
03-social-atf-laplacemedia-8.fr,1351,0,250,32,0,0,0,0,1351,1,0
03-social-atf-laplacemedia.fr,1351,0,250,32,0,0,0,0,1351,1,0
04-edito-mtf-laplacemedia-1.fr,1351,0,250,32,0,0,0,0,1351,1,0
04-edito-mtf-laplacemedia-2.fr,1351,0,250,32,0,0,0,0,1351,1,0
04-edito-mtf-laplacemedia-3.fr,1351,0,250,32,0,0,0,0,1351,1,0
04-edito-mtf-laplacemedia-4.fr,1351,0,250,32,0,0,0,0,1351,1,0
04-edito-mtf-laplacemedia-5.fr,1351,0,250,32,0,0,0,0,1351,1,0
04-edito-mtf-laplacemedia-6.fr,1351,0,250,32,0,0,0,0,1351,1,0
04-edito-mtf-laplacemedia-7.fr,1351,0,250,32,0,0,0,0,1351,1,0
04-edito-mtf-laplacemedia.fr,1351,0,250,32,0,0,0,0,1351,1,0
05-services-mtf-laplacemedia-2.fr,1351,0,250,32,0,0,0,0,1351,1,0
